path,type,source,author,license,generation_command,sha256
templates/hd2d_wuxia/assets/enemy/ghost_l_die_1.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,bbe9b90e63c6c63313fd1c3a25c809872c6e1cbe9585b6589a3ceaaa7efa2548
templates/hd2d_wuxia/assets/enemy/ghost_l_die_2.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,795f49c138d5c8b5234606017b050505da834708f4737fe87f07f9aed3eeb742
templates/hd2d_wuxia/assets/enemy/ghost_l_die_3.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,bbe9b90e63c6c63313fd1c3a25c809872c6e1cbe9585b6589a3ceaaa7efa2548
templates/hd2d_wuxia/assets/enemy/ghost_l_die_atlas.dsprite.json,图集描述/图集 PNG,gen_atlases.py,DSEngine Authors,Apache-2.0,G3,63a3b95cf3d28188afdb12f7ccb8ac12882c0ffd438f1b25a09fd9bc772e80be
templates/hd2d_wuxia/assets/enemy/ghost_l_die_atlas.png,图集描述/图集 PNG,gen_atlases.py,DSEngine Authors,Apache-2.0,G3,2041a08d38c79589b61f520414706a8ff75d8285d897de03b7322babba729db4
templates/hd2d_wuxia/assets/enemy/ghost_l_hurt_0.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,6a9a2223731b532dc70e0d1300243c75866ca6b9ab879ce8e2757b3bed90acd1
templates/hd2d_wuxia/assets/enemy/ghost_l_hurt_atlas.dsprite.json,图集描述/图集 PNG,gen_atlases.py,DSEngine Authors,Apache-2.0,G3,b30f65bbe6d7349a87c0fd0823bd8f11ce807b8d6ee4e72105db54b1bf477694
templates/hd2d_wuxia/assets/enemy/ghost_l_hurt_atlas.png,图集描述/图集 PNG,gen_atlases.py,DSEngine Authors,Apache-2.0,G3,c62679b9b26f8599b3e7a9085a48d4da7e29ad7bbeb3cf620497bc70d68da25f
templates/hd2d_wuxia/assets/enemy/ghost_l_idle_0.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,6a9a2223731b532dc70e0d1300243c75866ca6b9ab879ce8e2757b3bed90acd1
templates/hd2d_wuxia/assets/enemy/ghost_l_idle_1.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,e724347cb48dc0034b2af6269dce5bc1fc33afa5a2fe242a940982d293674307
